id,Title,Content,"Publication Authors_publication_author_name","Publication Year",DOI,"Publication URLs","RDC List_id","Book Title","BibTex Type","Journal Name",Number,"Network Ref"
19723,"Do places matter? A multilevel analysis of geographic variations in child behaviour in Canada",,"Michael H. Boyle,Ellen L. Lipman",1998,,http://publications.gc.ca/site/eng/9.614716/publication.html,MCM,,ARTICLE,"HRDC Working Paper",W-98-16E,workpaper
19724,"Job stress in health care workers: Highlights from the National Population Health Survey 1994/95",,"T. Sullivan,M. S. Kerr,Selahadin A. Ibrahim",1999,,http://www.longwoods.com/publications/healthcare-quarterly/311,UTO,,ARTICLE,"Hospital Quarterly",4,article
19725,"Secular trends in the body mass index of Canadian children",,"Mark S. Tremblay,J. Douglas Willms",2000,,http://www.cmaj.ca/content/163/11/1429.abstract,UNB,,ARTICLE,"Canadian Medical Association Journal (CMAJ)",11,article
19726,"Secular trends in body mass index of Canadian children",,"Mark S. Tremblay,P. T. Katzmarzyk,J. D. Willms",2000,,http://www.cmaj.ca/content/163/11/1429.abstract,UNB,,ARTICLE,"Canadian Medical Association Journal (CMAJ)",11,article
19727,"The implications of parents' conjugal histories for children / Effets de l'histoire conjugale des parents sur les enfants",,"Nicole Marcil-Gratton,Céline Le Bourdais,Évelyne Lapierre-Adamcyk",2000,,,MTL,,ARTICLE,"ISUMA: Canadian Journal of Policy Research / ISUMA : Revue canadienne de recherche sur les politiques",2,article
19728,"Gender differences in job strain, social support at work, and psychological stress",,"Marian Vermeulen,Cameron Mustard",2000,,http://psycnet.apa.org/journals/ocp/5/4/428/,UTO,,ARTICLE,"Journal of Occupational Health",4,article
19729,"Une analyse multi-niveaux des déterminants sociaux de la détresse psychologique auprès de la population Canadienne en emploi",,"Nancy Beauregard",2001,,,MTL,,MASTERSTHESIS,,,mastersthesis
19730,"Work correlates of back problems and activity restriction due to musculoskeletal disorders in the Canadian National Population Health Survey (NPHS) 1994-95 data",,"D. C. Cole,Selahadin A. Ibrahim,H. S. Shannon,F. E. Scott,J. Eyles",2001,,http://oem.bmj.com/content/58/11/728.abstract,UTO,,ARTICLE,"Occupational and Environmental Medicine",11,article
19731,"Multi-level effects on behaviour outcomes in Canadian children",,"Richard E. Tremblay,Bernard Boulerice,Holly Foster,Élisa Romano,John Hagan,Raymond Swisher",2001,,,MTL,,TECHREPORT,"Workling Paper Series",W-01-2E,report
19732,"Effects of neighbourhood, family and child behaviour on childhood injury in Canada",,"Hassan Soubhi,Parminder Raina,Dafna Kohen",2001,,,MTL,,ARTICLE,"Working Paper Series",W01-1-6E,workpaper
19733,"The dynamics of immigrant welfare and labor market behavior",,"J. Hansen,M. Lofstrom",2001,,http://www.iza.org/en/webcontent/publications/papers/viewAbstract?dp_id=360,MTL,,ARTICLE,"Institute for the Study of Labor (IZA) Discussion Paper",360,workpaper
19734,"Breastfeeding and asthma in young Canadian children: Findings from a population-based study",,"Sharon Del,Teresa To",2001,,http://archpedi.jamanetwork.com/article.aspx?articleid=191182,UTO,,ARTICLE,"Archives of Pediatrics and Adolescent Medicine",11,article
19735,"Processes underlying children's adjustment in families characterized by physical aggression",,"J. E. Onyskiw,L. A. Hayduk",2001,,http://onlinelibrary.wiley.com/doi/10.1111/j.1741-3729.2001.00376.x/abstract,UNB,,ARTICLE,"Family Relations",4,article
