"","Key","outcome","Software used","DCAF_Access_Restrictions_V2","RepositoryDOI","RCT number","doi"
"1","AEAREP-6152","Reproduced*","R;Stata","No","https://doi.org/10.3886/E208442V1","AEARCTR-0009691","10.1257/aer.20220908"
"2","AEAREP-6117","Reproduced","R","No","https://doi.org/10.3886/E208268V1",NA,"10.1257/aer.20221227"
"3","AEAREP-6113","Reproduced*","QGIS;Stata","Very Easy to Obtain;Very Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E199265V1",NA,"10.1257/aer.20211523"
"4","AEAREP-6110","Reproduced","Stata","No","https://doi.org/10.3886/E208243V1","AEARCTR-0011440, AEARCTR-0011981","10.1257/aer.20210039"
"5","AEAREP-6090","Reproduced","Matlab;Stata","No","https://doi.org/10.3886/E208166V1",NA,"10.1257/aer.20231012"
"6","AEAREP-6085","Reproduced","R;Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E198461V1",NA,"10.1257/aer.20220110"
"7","AEAREP-6067","Reproduced*","Stata","Very Easy to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E195367V1",NA,"10.1257/aer.20161864"
"8","AEAREP-6055","Reproduced*","R;Stata","No","https://doi.org/10.3886/E207983V1",NA,"10.1257/aer.20221116"
"9","AEAREP-6030","Reproduced*","Stata;zTree","No","https://doi.org/10.3886/E198744V1",NA,"10.1257/aer.20201361"
"10","AEAREP-5988","Reproduced","Python;Stata","Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E205281V1",NA,"10.1257/aer.20230515"
"11","AEAREP-5982","Not able to reproduce","ArcGIS;Matlab;Python;Stata","Very Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E198573V1",NA,"10.1257/aer.20220212"
"12","AEAREP-5965","Reproduced*","Python;Stata","Very Easy to Obtain;Moderately Easy to Obtain;Very Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E196461V1",NA,"10.1257/aer.20230016"
"13","AEAREP-5964","Reproduced","Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E198402V1",NA,"10.1257/aer.20221705"
"14","AEAREP-5963","Reproduced*","Python","No","https://doi.org/10.3886/E206101V1",NA,"10.1257/aer.20201806"
"15","AEAREP-5881","Reproduced","QGIS;Stata","Very Easy to Obtain;Moderately Easy to Obtain","https://doi.org/10.3886/E192224V1",NA,"10.1257/aer.20211856"
"16","AEAREP-5880","Reproduced*","Excel;Matlab;SAS;Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E198751V1",NA,"10.1257/aer.20221574"
"17","AEAREP-5879","Reproduced","Julia","No","https://doi.org/10.3886/E205362V1",NA,"10.1257/aer.20230128"
"18","AEAREP-5878","Reproduced*","Matlab;Stata","No","https://doi.org/10.3886/E205541V1",NA,"10.1257/aer.20220639"
"19","AEAREP-5877","Not able to reproduce","Stata","Very Difficult to Obtain","https://doi.org/10.3886/E205702V1",NA,"10.1257/aer.20230248"
"20","AEAREP-5796","Reproduced","Stata","Very Easy to Obtain","https://doi.org/10.3886/E204201V1","AEARCTR-0003572","10.1257/aer.20220296"
"21","AEAREP-5793","Reproduced*","Mathematica;Matlab","No","https://doi.org/10.3886/E200922V1",NA,"10.1257/aer.20230133"
"22","AEAREP-5758","Reproduced","Stata","Moderately Easy to Obtain;Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E199262V1",NA,"10.1257/aer.20230425"
"23","AEAREP-5757","Reproduced*","Matlab;Stata","No","https://doi.org/10.3886/E201421V1",NA,"10.1257/aer.20201365"
"24","AEAREP-5754","Reproduced","R;Stata","No","https://doi.org/10.3886/E192297V1","AEARCTR-0004617","10.1257/aer.20220616"
"25","AEAREP-5672","Not able to reproduce","R;Stata;python","Very Difficult to Obtain","https://doi.org/10.3886/E202904V1",NA,"10.1257/aer.20201952"
"26","AEAREP-5658","Reproduced*","Python;R","No","https://doi.org/10.3886/E202681V1",NA,"10.1257/aer.20210877"
"27","AEAREP-5656","Reproduced*","Stata","No","https://doi.org/10.3886/E202444V1",NA,"10.1257/aer.20221712"
"28","AEAREP-5642","Reproduced*","Matlab;R;Stata","No","https://doi.org/10.3886/E202063V1",NA,"10.1257/aer.20210987"
"29","AEAREP-5533","Reproduced*","Python","No","https://doi.org/10.60600/YU/ZTFKYM",NA,"10.1257/aer.20181851"
"30","AEAREP-5512","Reproduced*","Stata","No","https://doi.org/10.3886/E201443V1",NA,"10.1257/aer.20210935"
"31","AEAREP-5505","Reproduced","MATLAB;Stata","No","https://doi.org/10.3886/E201364V1",NA,"10.1257/aer.20221053"
"32","AEAREP-5488","Reproduced*","Stata","Moderately Easy to Obtain;Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E198562V1",NA,"10.1257/aer.20220822"
"33","AEAREP-5486","Reproduced","Excel","No","https://doi.org/10.3886/E200861V1",NA,"10.1257/aer.20220626"
"34","AEAREP-5460","Reproduced","Gurobi;MATLAB;Mosek;Python;R;Stata","No","https://doi.org/10.3886/E198284V1",NA,"10.1257/aer.20230700"
"35","AEAREP-5450","Not able to reproduce","Stata","No","https://doi.org/10.24433/CO.6241693.v1",NA,"10.1257/aer.20230033"
"36","AEAREP-5428","Not able to reproduce","Stata","Very Difficult to Obtain","https://doi.org/10.3886/E199081V1",NA,"10.1257/aer.20230521"
"37","AEAREP-5417","Reproduced*","Matlab;R","Very Difficult to Obtain","https://doi.org/10.3886/E198945V1",NA,"10.1257/aer.20220973"
"38","AEAREP-5279","Reproduced","Matlab","No","https://doi.org/10.3886/E198803V1",NA,"10.1257/aer.20220328"
"39","AEAREP-5278","Reproduced*","Stata","Very Easy to Obtain","https://doi.org/10.3886/E198825V1",NA,"10.1257/aer.20230019"
"40","AEAREP-5228","Not able to reproduce","R;Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E198510V1",NA,"10.1257/aer.20211653"
"41","AEAREP-5204","Reproduced*","Stata","No","https://doi.org/10.3886/E198061V1",NA,"10.1257/aer.20221352"
"42","AEAREP-5107","Reproduced","R;Stata","Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E197985V1",NA,"10.1257/aer.20220621"
"43","AEAREP-5106","Reproduced","Matlab;Stata","Very Easy to Obtain;Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E195946V1",NA,"10.1257/aer.20200596"
"44","AEAREP-5019","Reproduced","Stata","Moderately Difficult to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E197984V1","AEARCTR-0003647","10.1257/aer.20191184"
